,name,price,deskripsi,isi_deksripsi
0,Bebenice Rusks Vegetable,Rp27.300 - Rp29.700,Golongan Produk**Kemasan**Manufaktur,Pangan Olahan Diet Khusus**Dus**None
1,Cerelac Bubur Beras Merah 120 g,Rp9.300 - Rp19.700,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Makanan pendamping ASI bubuk instan rasa beras merah untuk bayi dan anak usia 6-24 bulan.**Susu bubuk skim (28%), tepung beras, tepung beras merah (20%), gula, minyak nabati (mengandung antioksidan askorbil palmitat), maltodekstrin, premiks mineral & 3 mineral, minyak ikan (mengandung antioksidan natrium askorbat, tokoferol dan askorbil palmitat), premiks vitamin, Bifidobacterium Lactis NCC 2818, perisa identik alami Vanila.**Sesuai dengan kebutuhan**1. Cuci tangan sebelum menyiapkan Bubur Sereal. Gunakan selalu mangkuk dan sendok yang bersih. 2. Rebus air minum sampai mendidih selama lima menit, diamkan sampai suam-suam kuku. 3. Tuangkan air masak hangat (40 C) sesuai takaran yang tertera pada Saran Penyajian ke dalam mangkuk. Masukkan Bubur Sereal sesuai takaran. 4. Aduklah sampai bubur menjadi lembut. Suapkan Bubur Sereal yang telah dilarutkan dengan menggunakan sendok, jangan diberikan dalam botol susu.**Jangan diberikan pada anak Anda apabila terdapat perubahan dalam warna, betuk, bau, atau rasa dari bubur sereal**Pangan Olahan Diet Khusus**Aluminium foil dan karton @ 120 g**Nestle**BPOM: MD262228169047"
2,Cerelac Bubur Beras Merah Susu 120 g,Rp13.200 - Rp22.800,Indikasi Umum**Komposisi**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"bubur sereal untuk bayi berusia 1-2 tahun**kandungan DHA, Probiotik, zat besi, vitamin dan mineral yang mencukupi kebutuhan nutrisinya sehari-hari. Karbohidrat dalam bubur sereal ini berupa CHE (Cereals Hydrolysed Enzymatically) yang memecah karbohidrat menjadi lebih sederhana sehingga lebih mudah diserap dan dicerna.**Pangan Olahan Diet Khusus**box, 120 gr**Nestle**BPOM: ML862209151006"
3,Cerelac Bubur Beras Putih Susu 120 g,Rp16.000 - Rp21.600,Golongan Produk**Kemasan**Manufaktur,Pangan Olahan Diet Khusus**Dus @ 120 gram**Nestle
4,Cerelac Bubur Kacang Hijau 120 g,Rp9.400 - Rp18.700,Indikasi Umum**Komposisi**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Makanan pendamping ASI bubuk instan rasa kacang hijau untuk bayi dan anak usia 6-24 bulan.**Tepung beras, gula, kedelai, kacang hijau, minyak nabati (mengandung antioksidan askorbil palmitat), mineral, pengemulsi lesitin kedelai, premiks vitamin, bayam dan perisa vanila.**1. Cuci tangan sebelum menyiapkan Bubur Sereal. Gunakan selalu mangkuk dan sendok yang bersih. 2. Rebus air minum sampai mendidih selama lima menit, diamkan sampai suam-suam kuku. 3. Tuangkan air masak hangat (40C) sesuai takaran yang tertera pada Saran Penyajian ke dalam mangkuk. Masukkan Bubur Sereal sesuai takaran. 4. Aduklah sampai bubur menjadi lembut. Suapkan Bubur Sereal yang telah dilarutkan dengan menggunakan sendok, jangan diberikan dalam botol susu.**Jangan diberikan pada anak Anda apabila terdapat perubahan dalam warna, betuk, bau, atau rasa dari bubur sereal**Pangan Olahan Diet Khusus**Aluminium foil dan karton @ 120 g**Nestle**BPOM: MD862228163047"
5,Cerelac Bubur Kacang Hijau 20 g,Rp2.000 - Rp3.200,Indikasi Umum**Komposisi**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Makanan pendamping ASI bubuk instan rasa kacang hijau untuk bayi dan anak usia 6-24 bulan.**Tepung beras, gula, kedelai, kacang hijau, minyak nabati (mengandung antioksidan askorbil palmitat), mineral, pengemulsi lesitin kedelai, premiks vitamin, bayam dan perisa vanila.**Pangan Olahan Diet Khusus**Sachet 20 g**Nestle**BPOM: MD262228173047"
6,Cerelac Bubur Pisang Susu 120 g,Rp13.800 - Rp20.200,Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Makanan pendemping ASI bubuk instan untuk bayi dan anak usia 6-24 bulan.**Tepung, gandum, susu bubuk skim, pisang, minyak nabati (mengandung antioksidan askorbil palmitat), gula, mineral, minyak ikan (mengandung antioksidan natrium askorbat dan tokoferol ), premiks vitamin, prebiotik (bifidobacterium lactis), perisa vanila.**Tuangkan air masak hangat sesuai takaran yang tertera pada saran penyajian ke dalam mangkuk. Masukkan bubur serealia sesuai takaran. Adukkan sampai bubur menjadi lembut. Suapkan bubur serealia yang telah dilarutkan dengan menggunakan sendok, jangan diberikan dalam botol susu.**Pangan Olahan Diet Khusus**Kemasan ganda @ 120 g**Nestle**BPOM: ML862209176006"
7,Citrex Gummy Upin Ipin Rasa Jeruk Dan Strawberry 5 Sachet,Rp13.200 - Rp22.400,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur,"Memenuhi kebutuhan vitamin C pada anak**Produk Konsumen**Dus, 5 Sachet @ 12 G**None"
8,Egoji Chewy Gummy Blackcurrant 20 g Isi 10,Rp12.000 - Rp15.700,Indikasi Umum**Komposisi**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Membantu meningkatkan daya tahan tubuh, membantu mempercepat penyembuhan penyakit, mencegah agar tidak mudah terserang penyakit**Ekstrak buah goji berry, Vitamin C, Zinc, Vitamin B3, Vitamin B5, Vitamin E, Vitamin B6, Vitamin B2, Vitamin B1, Vitamin A.**Produk Konsumen**Sachet 20 g**Novell Pharmaceutical Laboratories**BPOM: MD 224510043057"
9,Egoji Chewy Gummy Melon 20 g Isi 10,Rp12.000 - Rp15.500,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Membantu meningkatkan daya tahan tubuh, membantu mempercepat penyembuhan penyakit, mencegah agar tidak mudah terserang penyakit**Ekstrak buah goji berry, Vitamin C, Zinc, Vitamin B3, Vitamin B5, Vitamin E, Vitamin B6, Vitamin B2, Vitamin B1, Vitamin A.**Sesuai kebutuhan**sesudah makan**hipervitaminosis, reaksi alergi**Produk Konsumen**Sachet 20 G**None**BPOM: MD 224510043057"
