,name,price,deskripsi,isi_deksripsi
0,Wellness Calcium Gummy Chewable 30 Tablet,Rp192.300 - Rp292.000,Indikasi Umum**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Untuk mencegah dan mengatasi kekurangan kalsium. Membangun dan mempertahankan tulang yang kuat**> 4 tahun : 1 gummy per hari (dikunyah)**Vitamin & Suplemen**Botol @ 30 Tablet**Natural Nutrindo**BPOM: SI124503891
1,Wellness Os-Cal 60 Kapsul,Rp296.000 - Rp462.900,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Membantu mencegah atheroklerosis (penebalan pembuluh darah)**Liquid Calcium**2-3 kapsul lunak per hari**Diminum sesudah makan**Produk Konsumen**Botol @ 60 Kapsul**Natural Nutrindo**BPOM: SI104302261
2,Viostin 5 Kaplet,Rp34.900 - Rp42.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Viostin merupakan suplemen untuk membantu memelihara kesehatan persendian**Membantu memelihara kesehatan persendian**Glucosamine HCl (Shrimp Shell) 500 mg, Chondroitin sulphate (Bovine Cartilage) 50 mg, Vitamin C 50 mg, Mangan 50 mg, Magnesium 10 mg, Zinc 5 mg.**Dewasa: 2-3 x sehari, 1 kaplet per hari**Sesudah makan**Simpan ditempat sejuk dan kering**Vitamin & Suplemen**Dus, 6 Strip @ 5 Kaplet**Pharos**BPOM: SD181552401"
3,Glucosamine 500 mg 10 Kaplet,Rp21.400 - Rp26.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"GLUCOSAMINE merupakan suplemen makanan dengan kandungan Glucosamine. Suplemen ini digunakan untuk membantu memenuhi kebutuhan nutrisi pada persendian dan sebagai pelumas persendian, sehingga meminimalkan rasa nyeri dan kaku saat digerakkan.**Suplemen ini digunakan untuk membantu memelihara kesehatan persendian**Glucosamine 500 mg**3 x sehari 1 kaplet**Sesudah makan**Vitamin & Suplemen**Dus, 10 Blister @ 10 kaplet**Generic Manufacturer**BPOM: SD051522831* *) Vitamin ini merupakan produk Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek."
4,Nutriflam Neo 6 Kapsul,Rp95.300 - Rp107.800,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"NUTRIFLAM NEO 6 KAPSUL di gunakan untuk membantu memelihara kesehatan sendi**Untuk memelihara kesehatan sendi.**Boswellia serrata extract 100 mg, Curcuma longa rhizoma extr 250 mg, Bioperine 2.5 mg, Vitamin K2 22.5 mcg.**1 kali per hari, 1 kapsul**Sesudah makan**Vitamin & Suplemen**Dus, 5 Strip @ 6 Kapsul**Tropica Mas Pharmaceutical**BPOM: SD171350491"
5,Oste Forte 6 Kaplet,Rp38.100 - Rp56.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"OSTE FORTE 6 KAPLET di gunakan untuk terapi osteoarthitis, memelihara kesehatan sendi**Osteoartritis, memelihara kesehatan Sendi & meningkatkan pembentukan Kolagen.**Glucosamine HCl 500 mg, Chondroitin Sulfate 400 mg, Manganese 0.5 mg, mg 10 mg, Zn 5 mg, vit.C 50 mg**BB > 55 kg : 3 x sehari 1 kaplet, BB < 55 kg : 2 x sehari 1 kaplet**Sesudah makan**belum di temukan**belum di temukan**belum di temukan**Vitamin & Suplemen**Dus, 5 Amplop @ 1 Strip @ 6 Kaplet salut selaput**Soho Industri Pharmasi**BPOM: SD011501161"
6,Glucosamine 250 mg 10 Tablet,Rp13.900 - Rp15.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"GLUCOSAMINE merupakan suplemen makanan yang digunakan untuk memelihara kesehatan sendi.**Memelihara kesehatan persendian**Glucosamine 250 mg**1 kaplet 3x sehari**Sesudah makan**Hipersensitif terhadap bahan aktif obat**-**Mual, muntah**Vitamin & Suplemen**Dus, 6 strip @ 10 tablet**Generic Manufacturer**BPOM: SD061528691* *) Vitamin ini merupakan produk Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek."
7,Welmove 5 Kaplet,Rp19.300 - Rp22.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"WELMOVE TABLET mengandung glucosamin, chondroitin, vitamin dan mineral yang dapat membantu memelihara kesehatan persendian. Expired Date: 12/2023**Suplemen untuk membantu memelihara kesehatan persendian.**Glucosamine HCl 500 mg, Chondroitin SO4 400 mg, Vitamin C 50 mg, Mn 0.5 mg, Mg 10 mg, Zn 5 mg**2-3 kali sehari 1 kaplet**diminum setelah makan**wanita hamil dan menyusui**hipersensitif**diare, mulas, mual, muntah**Vitamin & Suplemen**Dus, 12 Amplop @ 1 Strip @ 5 Kaplet Salut Selaput**Ultrasakti**BPOM: SD152547681"
8,Caldana Flex Kaplet 30 Tablet,Rp79.300 - Rp247.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"CALDANA FLEX KAPLET TABLET merupakan suplemen makanan yang membantu memelihara kesehatan tulang dan sendi yang mengandung Glucosamine, Calcium, Vitamin D3, Magnesium dan Zinc. Dengan bertambahnya usia mengakibatkan kepadatan tulang berkurang yang bisa menjadikan tulang keropos atau bisa disebut juga osteoporosis. Caldana Flex juga diperkaya dengan kandungan vitamin D3, Magnesium, dan Zinc yang akan membantu penyerapan kalsium ke dalam tulang. Dengan adanya kandungan ini, tulang akan menjadi tetap padat sehingga Anda terhindar dari bahaya osteoporosis. Berkegiatan pun lebih nyaman. Caldana Flex cocok dikonsumsi oleh pria dan wanita berusia 50 tahun keatas. Kurangnya kalsium merupakan penyebab utama keroposnya tulang dan radang sendi. Dengan mengkonsumsi Caldana Flex secara teratur (sesuai anjuran) bergerak menjadi lebih nyaman.**Membantu memelihara kesehatan tulang dan sendi**Glucosamin, Kalsium, Vitamin D3, Magnesium, Zinc**1 kaplet, 1-2 kali sehari atau sesuai anjuran dokter**Vitamin & Suplemen**Dus, 5 catch cover @ 6 kaplet salut selaput**Medikon Prima Laboratories**BPOM: SD111542401"
9,Cartiflex 20 Kaplet,Rp124.200 - Rp214.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"-**Suplemen untuk memelihara kesehatan sendi.**Glucosamine 500 mg, chondroitin sulfate 400 mg, MSM 300 mg.**Sebaiknya diberikan bersama makanan.**Sebaiknya diberikan bersama makanan.**Pasien dg alergi thd seafood.**-**-**Vitamin & Suplemen**Botol @ 20 Tablet**Galenika**BPOM: SD071530261"
