,name,price,deskripsi,isi_deksripsi
0,Buds Organics Toothpaste With Fluoride Green Apple 3-12 Tahun 50 ml,Rp149.900,Deskripsi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Buds Organics Toothpaste With Fluoride merupakan pasta gigi anak dengan kandungan fluoride yang berguna untuk memperkuat dan membersihkan gigi dari plak.**Sesuai kebutuhan**Sikat gigi dan gusi selama dua hingga tiga menit setelah makan dengan gerakan memutar. Bilas mulut sampai bersih.**Produk Konsumen**Tube @ 50 ml**None**BPOM: NA32201400003
1,Buds Organics Toothpaste With Fluoride Strawberry 3-12 Tahun 50 ml,Rp149.900,Deskripsi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Buds Organics Toothpaste With Fluoride merupakan pasta gigi anak dengan kandungan fluoride yang berguna untuk memperkuat dan membersihkan gigi dari plak.**Sesuai kebutuhan**Sikat gigi dan gusi selama dua hingga tiga menit setelah makan dengan gerakan memutar. Bilas mulut sampai bersih.**Produk Konsumen**Tube @ 50 ml**None**BPOM: NA32201400003
2,Buds Organics Toothpaste With Xylitol Blackcurrant 1-3 Tahun 50 ml,Rp149.900,Deskripsi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Buds Organics Toothpaste With Xylitol merupakan pasta gigi anak dengan kandungan xylitol yang berguna untuk memperkuat gigi.**Sesuai kebutuhan**Sikat gigi dan gusi selama dua hingga tiga menit setelah makan dengan gerakan memutar. Bilas mulut sampai bersih.**Produk Konsumen**Tube @ 50 ml**None**BPOM: NA32201400004
3,Buds Organics Toothpaste With Xylitol Green Apple 1-3 Tahun 50 ml,Rp149.900,Deskripsi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Buds Organics Toothpaste With Xylitol merupakan pasta gigi anak dengan kandungan xylitol yang berguna untuk memperkuat gigi.**Sesuai kebutuhan**Sikat gigi dan gusi selama dua hingga tiga menit setelah makan dengan gerakan memutar. Bilas mulut sampai bersih.**Produk Konsumen**Tube @ 50 ml**None**BPOM: NA32201400004
4,Buds Organics Toothpaste With Xylitol Strawberry 1-3 Tahun 50 ml,Rp149.900,Deskripsi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Buds Organics Toothpaste With Xylitol merupakan pasta gigi anak dengan kandungan xylitol yang berguna untuk memperkuat gigi.**Sesuai kebutuhan**Sikat gigi dan gusi selama dua hingga tiga menit setelah makan dengan gerakan memutar. Bilas mulut sampai bersih.**Produk Konsumen**Tube @ 50 ml**None**BPOM: NA32201400004
5,Caladine Baby Anti Iritation Liquid Soap 200 ml,Rp13.900 - Rp59.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 200 ml**Galenium Pharmasia Laboratories
6,Caladine Baby Anti Iritation Liquid Soap 95 ml,Rp14.100 - Rp46.000,Indikasi Umum**Aturan Pakai**Efek Samping**Golongan Produk**Kemasan**Manufaktur,"Merawat kulit kemerahan karena iritasi ringan penyebab gatal.**Gunakan untuk membersihkan, merawat dan melindungi kulit yang kemerahan karena iritasi ringan penyebab gatal**Iritasi**Produk Konsumen**Botol 95 ml**Galenika"
7,Caladine Baby Anti Iritation Soap 85 g,Rp11.900 - Rp27.800,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Sabun khusus untuk bayi yang mengandung Alpha Bisabolol sebagai zat anti inflamasi yang berfungsi mengatasi iritasi dan juga membantu mengurangi kemerahan pada kulit bayi. Kandungan Aloe Vera memberikan efek dingin pada kulit. Penambahan Vitamin B5 dan Minyak Zaitun berfungsi sebagai pelembab untuk menjaga kulit bayi tetap halus dan lembut.**Merawat kulit kemerahan karena iritasi ringan penyebab gatal.**Alpha Bisabolol, Aloe Vera, Vitamin B5 dan Minyak Zaitun**Gunakan untuk membersihkan, merawat dan melindungi kulit yang kemerahan karena iritasi ringan penyebab gatal**Produk Konsumen**Dus, Bar @ 85 g**Galenika"
8,Cetaphil Baby Advance Protection Cream with Calendula 85 G,Rp79.000 - Rp127.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Cetaphil Baby Advance Protection Cream with Calendula merupakan krim multi fungsi yang melembapkan dan menenangkan sekaligus memberikan perlindungan ekstra untuk kulit bayi yang kering dan sensitif terutama pada bayi yang baru lahir.**Menjaga kelembapan kulit bayi.**Aqua, Glycerin, Helianthus Annuus Seed Oil, Sodium Acrylate/Sodium Acryloyldimethyltaurate Copolymer, Taurate Copolymer, Polyisobutene, Panthenol, Methylpropanediol, Butyrospermum Parkii Butter, Allantoin, Calendula Officinalis Flower Extract, Caprylyl Glycol, Caprylyl/Capryl Glucoside, Citric Acid, Glycine Soja Oil, Phenoxyethanol, Sorbitan Oleate, Tocopherol.**Gunakan dua kali sehari atau sebanyak yang diperlukan.**Dioleskan pada area kulit yang sering mengalami kekeringan sehingga mudah menjadi sensitif seperti pipi, lutut, dan siku.**Hanya untuk penggunaan luar.**Produk Konsumen**Tube @ 85 g**Galderma**BPOM: NC16200100033"
9,Cetaphil Baby Daily Lotion Organic Calendula 400 ml,Rp194.000 - Rp261.100,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Cetaphil Baby Daily Lotion with Organic Calendula adalah losion perawatan bayi yang sudah diuji secara dermatologis untuk menjaga kelembapan kulit hingga 24 jam dan menutrisi kulit lembut bayi. Cetaphil Baby Daily Lotion with Organic Calendula mengandung minyak bunga matahari yang kaya akan antioksidan, minyak sweet almond dan calendula organik yang membantu menenangkan, melembutkan kulit, dan menjaga tekstur kulit bayi.**Membantu menenangkan, melembutkan kulit, dan menjaga tekstur kulit bayi.**Aqua, Sorbitol, Helianthus Annuus Seed Oil, Isopropyl Palmitate, Octyldodecanol, Polyglyceryl-3 Diisostearate, Glycerin, Hexyldecanol, Hexyldecyl Laurate, Prunus Amygdalus Dulcis Oil, Calendula Officinalis Flower Extract, Caprylyl Glycol, Carbomer, Dipropylene Glycol, Disodium Cocoyl Glutamate, Glyceryl Caprylate, Glycine Soja Oil, Heliotropine, Panthenol, Parfum, Propylene Glycol, Sodium Hydroxide, Squalane, Tocopherol.**Tuangkan Cetaphil Baby Daily Lotion with Organic Calendula ke tanganmu, lalu usapkan secara perlahan. Usapkan dengan lembut ke wajah dan tubuh si kecil.**Produk Konsumen**Botol @ 400 ml**Galderma**BPOM: NC16210100096"
10,Cetaphil Baby Daily Lotion Shea Butter 400 ml,Rp149.300 - Rp250.300,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Cetaphil Baby Daily Lotion adalah losion kulit bayi yang sudah diuji secara dermatologis dapat membantu menghidrasi, menutrisi kulit, serta menenangkan kulit bayi. Cetaphil Baby Daily Lotion perawatan bayi teruji secara klinis untuk menjaga kelembapan kulit lembut sepanjang hari dan melindungi lapisan kulit bayi sensitif. Digunakan untuk wajah dan seluruh tubuh bayi. Hypoallergenic, pH seimbang, dan teruji secara dermatologis. Cetaphil Baby Daily Lotion mengandung sunflower seed oil yang kaya akan antioksidan dan shea butter yang membantu melembutkan tekstur kulit bayi.**Membantu menghidrasi dan menutrisi kulit lembut bayi**AQUA, HELIANTHUS ANNUUS SEED OIL, SORBITOL, ISOPROPYL PALMITATE, OCTYLDODECANOL, POLYGLYCERYL-3 DIISOSTEARATE, GLYCERIN, PANTHENOL, HEXYLDECANOL, HEXYLDECYL LAURATE, BUTYROSPERMUM PARKII BUTTER, CAPRYLYL GLYCOL, CARBOMER, CITRIC ACID, DIMETHICONE, DIPROPYLENE GLYCOL, DISODIUM COCOYL GLUTAMATE, GLYCERYL CAPRYLATE, GLYCINE SOJA OIL, HELIOTROPINE, PARFUM, PROPYLENE GLYCOL, SODIUM HYDROXIDE, TOCOPHEROL.**Tuangkan Cetaphil Baby Daily Lotion ke tangan, lalu gosok untuk menghangatkannya. Usapkan dengan lembut ke wajah dan tubuh si kecil.**Produk Konsumen**Botol @ 400 ml**Galderma**BPOM: NC16160103453"
