,name,price,deskripsi,isi_deksripsi
0,Holizinc 20 mg 10 Tablet,Rp3.200 - Rp4.200,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Pelengkap untuk pengobatan diare pada anak-anak usia < 5 tahun. Mencegah atau mengobati dehidrasi dan untuk mencegah kekurangan nutrisi. Mengurangi lama dan tingkat keparahan dari dehidrasi.**Tiap tablet mengandung: zinc sulfate monohydrate 20 mg**- Anak usia 2 - 6 bulan : Satu kali sehari 10 mg ( setengah tablet ) diberikan setiap hari selama 10 hari berturut-turut (bahkan ketika diare telah berhenti). - Anak usia 6 bulan - 5 tahun : Satu kali sehari 1 tablet diberikan setiap hari selama 10 hari berturut-turut**penggunaan Holizinc bersama dengan oralit. sebelum atau sesudah makan**Obat Bebas Terbatas (Biru)**Dus, 10 Strip @ 10 Tablet**Holi Pharma**BPOM: DTL1917113781A1"
1,Holizinc Sirup 60 ml,Rp18.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Holizinc merupakan obat dengan sediaan sirup yang mengandung zinc sulfate monohydrate 20 mg. Obat ini digunakan sebagai terapi pelengkap diare pada anak yang diberikan bersama dengan ORS ( Oral Rehydration Salt)**Terapi pelengkap diare pada anak yang diberikan bersama dengan ORS ( Oral Rehydration Salt)**Tiap 5 ml mengandung: 54.9 mg zinc sulfate monohydrate 20 mg**Bayi usia 2-6 bulan: 0.5 sendok takar (2.5 ml) sehari, selama 10 hari berturut-turut walaupun diare sudah berhenti. Anak usia 6 bulan - 5 tahun: 1 sendok takar (5 ml) sehari, selama 10 hari berturut-turut walaupun diare sudah berhenti.**1 jam sebelum makan atau 2 jam sesudah makan, dapat diberikan bersama makanan untuk mengurangi ketidak-nyamanan pencernaan.**Hanya dapat dipakai 28 hari setelah tutup dibuka**Hipersensitif**Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Holi Pharma**BPOM: DTL1717111737A1"
2,Imodiar 2 mg 10 Tablet,Rp4.600 - Rp5.500,Deskripsi**Komposisi**Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.**Loperamide HCl 2 mg**0**Obat Keras (Merah)**Dus, 10 Strip @ 10 Tablet**Erlimpex**BPOM: DKL1606417710A1"
3,Imosa 2 mg 6 Tablet,Rp7.900 - Rp8.800,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.**Pengobatan diare akut non spesifik dan kronik**Loperamide HCl 2 mg**PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Untuk diare akut : awal 4 mg, kemudian 1 tablet setiap diare. Untuk diare kronik : awal 2 tablet. Maksimal : 16 mg/hari. Hentikan bila tidak ada perbaikan setelah 48 jam.**Diberikan sebelum atau sesudah makan.**HARUS DENGAN RESEP DOKTER. -**Konstipasi dihindari. Anak < 12 tahun.**Mulut kering, nyeri perut, ruam kulit, megakolon toksik, pusing.**Obat Keras (Merah)**Dus, 5 Strip @ 6 Tablet**Corsa**BPOM: DKL8804303410A1"
4,Interzinc 20 mg 10 Tablet,Rp55.300 - Rp65.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"-**Rehidrasi komplementer untuk pengganti cairan tubuh, mencegah dehidrasi pada anak, dapat bersamaan dengan larutan rehidrasi oral**Zn sulfate 20 mg**Anak 6 bulan-5 tahun : 1 tablet/hari, Bayi 2-6 bulan : 0.5 tablet/hari, Semua dosis diberikan selama 10 hari berturut-turut walaupun diare sudah berhenti.**Semua dosis diberikan selama 10 hari berturut-turut meskipun diare sudah berhenti**Cairan rehidrasi oral harus tetap diberikan disamping suplementasi Zn.**hipersensitivitas**Muntah. Dosis Zn berlebihan (>150 mg/hari) untuk jangka waktu lama dapat menyebabkan toksisitas pada orang dewasa.**Obat Bebas Terbatas (Biru)**Dus, 1 Blister @ 10 Tablet Dispersibel**Interbat**BPOM: DTL0917624581A1"
5,Kanina Suspensi 60 ml,Rp5.600 - Rp11.100,Komposisi**Golongan Produk**Manufaktur**No. Registrasi,"Setiap sendok takar (5 ml) suspensi mengandung: Kaolin 986 mg, pectin 40 mg.**Obat Bebas (Hijau)**Ifars**BPOM: DBL0909219233A1"
6,Lecozinc 10 Tablet,Rp3.000 - Rp12.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"LECOZINC merupakan suplemen yang mengandung Zinc. Zinc diberikan sesegera mungkin bersamaan dengan Oral Rehydration Salts (ORS). Untuk mengurangi lama dan tingkat keparahan dari dehidrasi setelah diare berhenti, berikan Zinc secara kontinyu untuk menggantikan kandungan Zinc yang hilang. Pemberian Zinc dapat mengurangi risiko anak terkena diare kembali dalam waktu 2-3 bulan ke depan. Zinc bekerja dengan meningkatkan absorpsi air dan elektrolit, meningkatkan regenerasi dari epitelium usus, meningkatkan kadar enzim brush border, serta meningkatkan respon imun. Oleh karena itu, pengeluaran patogen akan lebih baik.**Pelengkap untuk pengobatan diare pada anak-anak di bawah 5 tahun dan diberikan bersama dengan Garam Rehidrasi Oral (ORS) atau larutan oralit.**Tiap tablet dispersibel mengandung Zinc Sulfate Monohydrate 54.9 mg setara Zinc 20 mg**Bayi 2-6 bulan : 1/2 tablet dispersibel (Zinc 10 mg) diberikan setiap hari selama 10 hari berturut-turut (walaupun diare sudah berhenti). Anak-anak 6 bulan - 5 tahun : 1 tablet dispersibel (Zinc 20 mg) sehari selama 10 hari berturut-turut (walaupun diare sudah berhenti).**Dilarutkan pada 1 sendok air minum.**Tetap berikan ASI bagi bayi yang masih menyusui. Berikan asupan cairan yang cukup pada anak selama diare untuk mencegah dehidrasi.**Belum dilaporkan adanya kontraindikasi untuk penggunaan obat ini**Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: - Mual, rasa pahit, muntah, dan iritasi pada mulut. - Pemakaian Zinc (pada orang dewasa) lebih besar dari 150 mg sehari dalam pemakaian jangka lama dapat menimbulkan ketoksikan - Penggunaan Zinc dosis tinggi pada jangka waktu lama dapat menyebabkan penurunan konsentrasi lipoprotein plasma serta penuruan absorpsi tembaga yang dapat menimbulkan anemia, neutropenia, serta akibat lainnya.**Obat Bebas Terbatas (Biru)**Dus, 10 amplop @ 1 strip @ 10 tablet**Ifars**BPOM: DTL1809224881A1"
7,Lecozinc Sirup 60 ml,Rp7.300 - Rp17.300,Komposisi**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Per 5 ml : Zinc Sulfate Monohydrate 10 mg**Obat Bebas Terbatas (Biru)**Dus, 1 Botol @ 60 ml**Ifars**BPOM: DTL1609224137A1"
8,Lexadium 2 mg 6 Tablet,Rp4.000 - Rp4.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"LEXADIUM 2 MG TABLET mengandung zat aktif loperamide yang berguna diare kronik, diare akut non-spesifik. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.**Pengobatan diare akut non spesifik dan kronik**Loperamide**PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Untuk diare non spesifik : awal 2 tablet/hari. Dosis biasa : 2-4 tablet 1-2 kali/hari. Maksimal : 8 tablet/hari. Untuk diare kronik : 2-4 tablet/hari dalam dosis terbagi. Maksimal : 8 tablet/hari.**Diberikan sebelum atau sesudah makan.**HARUS DENGAN RESEP DOKTER. Gagal ginjal dan hati, tidak dianjurkan untuk diare akut akibat infeksi E Coli, Salmonella dan Shingella, diare disertai demam tinggi atau feses berdarah. Hamil, laktasi, dan Anak < 12 tahun.**Kolitis akut. Konstipasi harus dihindari.**Kembung, mual, muntah, konstipasi, nyeri perut, reaksi hipersensitif, megakolon toksik, mengantuk, pusing, kelelahan. Overdosis : konstipasi, mual, depresi SSP.**Obat Keras (Merah)**Dus, 10 Strip @ 6 Tablet**Molex Ayus Pharmaceutical**BPOM: DKL9630903610A1"
9,Loremid 2mg 10 Tablet,Rp13.800 - Rp15.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.**Diare akut, diare kronis.**Tiap tablet salut selaput mengandung Loperamide 2 mg**Dewasa : 1 x sehari 2 tablet, ditambah 1 tablet setiap habis buang air besar. Anak usia 4 - 8 tahun : 3 - 4 x sehari 1/2 tablet. Anak usia 9 - 12 tahun: 4 x sehari 1 tablet**Diberikan setelah BAB**Dianjurkan minum banyak cairan. Kadang dibutuhkan waktu 48 jam sebelum diare berkurang. Tetap gunakan obat ini seperti yang dianjurkan. Hubungi dokter jika diare tidak hilang setelah 10 hari. Hindari mengemudi atau menyalakan mesin selama menggunakan obat ini. Hati-hati pada pasien yang menderita gangguan hati. Tidak dianjurkan digunakan oleh ibu menyusui.**Pasien dengan riwayat alergi terhadap obat ini. Tidak boleh digunakan sebagai terapi utama pada pasien dengan disentri akut ditandai dengan darah dalam tinja dan demam tinggi, ulcerative colitis akut, enterocolitis bakteri yang disebabkan oleh organisme yang dapat menembus dinding usus termasuk Salmonella, Shigella, dan Campylobacter, dan pada pasien dengan kolitis pseudomembran yang terkait dengan penggunaan antibiotik spektrum luas. Tidak digunakan untuk pengobatan infeksi C. difficile. Jangan digunakan pada kondisi di mana penghambatan peristaltik harus dihindari atau terjadi kejang perut. Anak-anak di bawah 3 tahun, sakit sistemik, kekurangan gizi, dan dehidrasi.**Sembelit, kram perut, pusing, kantuk, mual, muntah, dan mulut kering**Obat Keras (Merah)**Dus Isi 10 Strip X 10 Tablet**Meprofarm**BPOM: DKL8315604417A1"
