,name,price,deskripsi,isi_deksripsi
0,Bromhexine HCl 8 mg 10 Tablet,Rp3.900,Indikasi Umum**Komposisi**Dosis**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"digunakan dalam pengobatan gangguan pada saluran pernafasan yang disebabkan oleh dahak/mukus yang berlebihan**bromhexine**PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. --**HARUS DENGAN RESEP DOKTER. untuk ibu menyusui, dapat melewati sawar lambung**hipersensitif, ulkus pada lambung penggunaan obat ini harus dilakukan secara hati-hati.**pada saluran pencernaan misalnya mual, muntah, diare, rasa penuh di perut, dan nyeri pada ulu hati, sakit kepala, vertigo, keringat berlebihan, dan kenaikan enzim transaminase.**Obat Bebas Terbatas (Biru)**Box, 10 Strip 10 Tablet**Generic Manufacturer**BPOM: GTL1506416910A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek."
1,Bromifar Plus 10 Kaplet,Rp4.100,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Meredakan batuk produktif & memudahkan pengeluaran dahak.**Bromhexine HCl 8 mg, guaiphenesin 100 mg.**Dewasa & anak usia >10 thn : 3 kali sehari 1 tablet, anak 5-10 thn : 3 kali sehari 1/2 tablet, 2-5 thn : 3 kali sehari 1/4 tablet**Dikonsumsi bersamaan dengan makanan**Obat Bebas Terbatas (Biru)**dus isi 100**Ifars**BPOM: DTL1109221510A1"
2,Bronchitin Flu 60 ml,Rp7.900 - Rp12.600,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Meringankan gejala-gejala demam seperti, Hidung meler, hidung tersumbat dan meredakan bersin, gatal pada hidung atau tenggorokan, mata berair karena flu atau alergi saluran pernafasan atas.**Tiap 5 ml mengandung: Paracetamol 120 mg Pseudoephedrine HCl 15 mg Chlorphenamine Maleate 2 mg**- Usia 2-6 tahun : 2,5 ml tiap 6-8 jam - Usia 6-12 tahun : 5 ml tiap 6-8 jam - Maksimal 4 dosis dalam 24 jam**Sesudah makan**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Nufarindo**BPOM: DTL2118218537A1"
3,Calortusin 10 Kaplet,Rp7.500 - Rp8.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"CALORTUSIN 10 KAPLET mengandung zat aktif Paracetamol, Dextrometorphan HBr, Phenylpropanolamine, dan CTM. Paracetamol bekerja sebagai analgesik-antipiretik. Dextrometorphan HBr bekerja sebagai antitusif. Phenylpropanolamine HCl bekerja sebagai dekongestan hidung. dan Chlorpheniramine Maleate bekerja sebagai antihistamin.**Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk.**Paracetamol 500 mg, Dextromethorphan HBr 15 mg, Phenylpropanolamin HCl 15 mg, Chlorpheniramine Maleate 2 mg**Anak-anak usia 6-12 tahun: diminum 3 kali sehari, 1/2 kaplet. Dewasa: diminum 3 kali sehari, 1 kaplet.**Sesudah makan**Hati-hati pada pasien yang memiliki alergi atau hipersensitif terhadap salah satu atau beberapa komponen obat. Memiliki masalah pada jantung dan penyakit diabetes melitus. Memiliki gangguan fungsi hati yang berat. Memiliki tekanan darah tinggi berat, stroke, obesitas, dan Lansia. Sedang menjalani pengobatan dengan Monoamin Oksidase Inhibitor (MAO).**Penderita hipertensi, hipertiroidisme, trombosis koroner, pasien yang mendapat pengobatan dengan penghambat monoamin oksidase, gangguan fungsi hati, glaukoma, diabetes, asma, gangguan jantung, dan gondok.**rasa mengantuk, masalah pencernaan, bibir terasa kering, retensi urin, gangguan psikomotor**Obat Bebas Terbatas (Biru)**Dus, 10 amplop @ 1 strip @ 10 kaplet**Rama Emerald Multi Sukses**BPOM: DTL8528901004A1"
4,Coparcetin 10 Tablet,Rp10.300 - Rp14.800,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"COPARCETIN merupakan obat dengan kandungan Paracetamol, Guaifenesin, Ephedrin HCl, dan Chlorphenamine maleate. Obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung, dan bersin-bersin yang disertai batuk. Paracetamol bekerja sebagai pereda demam (antipiretik) sekaligus mengurangi rasa nyeri (analgetik). Guaifenesin bekerja sebagai ekspektoran yang mempermudah pengeluaran dahak. Ephedrine memiliki efek dekongestan dan bronkodilator yang melegakan pernafasan. Chlorphenamine bekerja sebagai antihistamin (anti alergi) untuk meredakan gejala alergi seperti bersin-bersin. Chlorphenamine secara kompetitif menghambat reseptor histamine H1 pada saluran cerna, saluran pernafasan, dan pembuluh darah. Sehingga terjadi penghambatan pelepasan histamine, prostaglandin, dan leukotriene serta mencegah migrasi dari mediator inflamasi.**Meringankan gejala flu seperti demam, sakit kepala, hidung, dan bersin-bersin yang disertai batuk.**Paracetamol 500 mg, Guaifenesin 100 mg, Ephedrin HCl 8 mg, Chlorphenamine maleate 2 mg.**Dewasa : 3 kali sehari 1 kaplet. Anak usia 6-12 tahun : 3 kali sehari 0.5 kaplet.**Sesudah makan**Dapat menyebabkan kantuk. Tidak boleh diberikan pada penderita yang sensitif atau alergi terhadap obat simpatomimetik lain (seperti: efedrin, pseudoefedrin, fenilefrin), penderita tekanan darah tinggi berat, dan individu yang mendapat anti depresan tipe penghambat Monoamin Oxidase (MAOI). Tidak boleh melebihi dosis yang dianjurkan. Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih atau penderita usia lanjut. Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan. Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing.**Gangguan jantung, diabetes mellitus, gangguan fungsi hati, hipersensitif terhadap komponen obat.**Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah : Mengantuk, rasa tidak enak pada perut.**Obat Bebas Terbatas (Biru)**Dus, 10 Amplop @ 1 Strip @ 10 Kaplet**Sampharindo Perdana**BPOM: DTL9723405004A1"
5,Coredryl Ekspektoran Sirup 100 ml,Rp6.700 - Rp11.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"COREDRYL SIRUP merupakan obat yang digunakan untuk mengatasi gejala alergi dan flu seperti hidung tersumbat, mata berair, bersin-bersin, mata atau hidung yang gatal yang disertai batuk.**Meredakan gejala batuk yang disebabkan oleh alergi**Per-5 mL : Diphenhydramine HCl 15 mg, glyceryl guaiacolate 75 mg, Menthol 2.5 mg**Dewasa: 3 kali sehari 5ml. anak 6-12 tahun: 3 kali sehari 2,5ml**Diminum sebelum atau sesudah makan**Pasien dengan glaukoma, epilepsi, sedang menjalani terapi depresan SSP, dapat menggangu kemampuan mengemudi dan menjalankan mesin.**Hipersensitif, ibu menyusui, dan bayi prematur atau bayi baru lahir.**Mengantuk, sakit kepala dan mual**Obat Bebas Terbatas (Biru)**Botol 100 ml**Global Multi Pharmalab**BPOM: DTL9610700537A1"
6,Decadryl Ekspektoran Sirup 60 ml,Rp18.500 - Rp24.400,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"DECADRYL EXPECTORANT SIRUP mengandung Diphenhydramine HCl, Ammonium Chloride, Natrium Citrate, Menthol dan Alkohol. Obat ini digunakan untuk mengatasi batuk berdahak kerena alergi. Obat ini menyebabkan kantuk. Selama minum obat ini, tidak boleh mengendarai kendaraan bermotor atau menjalankan mesin.**Meringankan batuk berdahak karena alergi.**Tiap 1 sendok takar (5 ml) mengandung: Diphenhydramine HCl 13.5 mg, Ammonium Chloride 131.5 mg.**Dewasa : 1-2 Sendok takar tiap 3 jam, tidak boleh lebih dari 14 sendok takar per hari. Anak 6-12 tahun : 1/2 - 1 sendok takar tiap 3 jam, tidak boleh lebih dari 6 sendok takar per hari**Sesudah makan**Tidak dianjurkan untuk anak-anak dibawah usia 2 tahun, tidak boleh digunakan ketika berkendara, hati-hati pada penderita jantung,glaukoma dan prostatisme.**Penderita hipersensitif terhadap salah satu komponen obat ini. Tidak boleh digunakan pada bayi baru lahir atau prematur. Terapi antibiotika yang bersifat ototoksik.**Mengantuk, retensi urin, ulut kering, gangguan pencernaan, reaksi alergi pada kulit, sedasi**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Harsen**BPOM: DTL7207918937A1"
7,Decolgen Kids Flu Sirup 60 ml,Rp13.200 - Rp13.600,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"DECOLGEN KIDS FLU SIRUP 60 ML merupakan obat dengan kandungan Paracetamol, Pseudoephedrine HCl, Chlorpheniramine maleate. Obat ini dapat digunakan untuk meredakan gejala flu seperti demam, sakit kepala, bersin, dan hidung tersumbat.**Meringankan gejala flu seperti demam, sakit kepala, bersin-bersin dan hidung tersumbat.**Setiap 5 ml (1 sendok takar) mengandung: Paracetamol 120 mg, Pseudoephedrine HCl 7.5 mg, Chlorpheniramine Maleate 0.5 mg.**Anak 6 - 12 tahun: 3 x sehari 10 ml (2 sendok takar). Dewasa dan anak diatas 12 tahun: 3 x sehari 20 ml (4 sendok takar).**Sebelum atau sesudah makan**Penyakit jantung, diabetes, glaukoma, gangguan fungsi hati atau ginjal, hamil, dapat mempengaruhi kemampuan mengemudi/mengoperasikan mesin**Hipertiroidisme, hipertensi, penyakit jantung; terapi MAOI; nefropati**Mengantuk, pusing, mulut kering; kejang epileptiform (dosis besar); ruam kulit**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Darya Varia Laboratoria**BPOM: DTL1504523437A1"
8,Decolsin Sirup 60 ml,Rp17.100 - Rp21.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"DECOLSIN SIRUP mengandung zat aktif Paracetamol, Guaiphenesin, Phenylpropanolamine, Pseudoephedrine HCL, Chlorpheniramine maleat, dan Dextromethorphan HBr. Decolsin sirup memliki cara kerja: - Antitusif dan ekspektoran: meredakan batuk. - Analgesik dan antipiretik: menurunkan demam. - Dekongestan hidung: meredakan hidung tersumbat. - Antihistamin: meredakan hidung gatal dan bersin-bersin.�**Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.**Per 5 mL: Paracetamol 250 mg, Pseudoephedrine HCL 15 mg, Chlorpheniramine maleate 1 mg, Dextromethorphan HBr 5 mg, Guaifenesin 50 mg**Anak 6-12 tahun : 5 mL (1 sendok takar) Dewasa dan anak > 12 tahun : 10 mL (2 sendok takar) Anak 2-6 tahun: Atas petunjuk Dokter**Sebelum atau sesudah makan**Hati-hati penggunaan pada penderita tekanan darah tinggi, atau stroke, seperti penderita dengan berat badan berlebih atau usia lanjut.Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter. Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing.**Hipertiroidisme, hipertensi, penyakit jantung; terapi MAOI; nefropati**Gangguan GI, mengantuk, pusing; mulut kering, kesulitan miksi, berkeringat, nafsu makan berkurang; kejang epileptiformis (dosis besar)**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Probus**BPOM: DTL1504522937A1"
9,Demacolin Sirup 60 ml,Rp15.800 - Rp36.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"DEMACOLIN SIRUP 60 ML adalah obat yang mengandung Paracetamol, Pseudoephedrine HCl, dan Chlorpheniramine maleat. Obat ini bekerja sebagai analgesik-antipiretik, antihistamin dan dekongestan hidung, dimana obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.**Obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.**Paracetamol 120 mg, Pseudoephedrine 7.5 mg, Chlorpheniramine maleat 1 mg**Anak-anak 2 - 5 tahun : 1 sendok takar (5 ml), 3 kali sehari. Anak-anak 6 - 12 tahun : 2 sendok takar (5 ml), 3 kali sehari.**Sebelum atau sesudah makan**Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke seperti pada penderita dengan berat badan berlebih (over weight) atau usia lanjut. Tidak boleh melebihi dosisi yang dianjurkan. Bila dalam 3 hari gejala flyu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan. Hetintikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing.Kategori kehamilan :Belum terdapat data keamanan terkait penggunaan obat ini pada wanita hamil dan/atau menyusui. Konsultasikan kepada dokter apabila Anda sedang hamil dan/atau menyusui.**Pasien dengan riwayat hipersensitif terhadap salah satu komposisi dari Demacolin. Pasien yang memiliki riwayat gangguan fungsi hati yang berat. Pasien yang peka terhadap obat simpatomimetik lain, penderita tekanan darah tinggi berat dan yang mendapat terapi obat anti depresan MAO.**Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: mengantuk, gangguan pencernaan, insomnia, gelisah, eksitasi, tremor, takikardi, aritmia ventrikuler, mulut keri ng, palpitasi sulit berkemih. Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.**Obat Bebas Terbatas (Biru)**Dus, Botol @ 60 ml**Coronet Crown**BPOM: DTL7804215937A1"
10,Erdosteine Dry Sirup 60 ml,Rp41.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"ERDOSTEINE DRY SIRUP mengandung erdosteine yang bertindak sebagai agen pengencer lendir bronkus. Erdostein bekerja dengan cara mengencerkan mukus bronkus sehingga memudahkan pengeluaran dahak. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.**Mukolitik, pengencer dahak pada penyakit saluran nafas akut dan kronik.**Erdosteine.**PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa & anak > 30 kg : 2 x sehari, 2 sendok teh (10 ml). Anak dengan BB 20-30 kg : 3 x sehari, 1 sendok teh (5ml) Anak dengan BB 15-20 kg : 2 x sehari, 1 sendok teh (5 ml)**Suspensikan terlebih dahulu dengan menambahkan 48 ml air, hingga terbentuk suspensi 60 ml. Setelah disuspensikan obat stabil dalam lemari es (2-8�C) dan tidak boleh digunakan lebih dari 7 hari.**HARUS DENGAN RESEP DOKTER. Setelah disuspensikan (dilarutkan dengan air) obat stabil dalam lemari es (2-8�C) dan tidak boleh digunakan lebih dari 7 hari. Hentikan pemberian dan konsultasikan dengan dokter bila terjadi reaksi yang merugikan. Tidak ada efek yang dilaporkan pada kemampuan mengemudi dan menggunakan mesin. Produk mengandung sukrosa (untuk suspensi), pertimbangkan hal ini dalam kasus diabetes atau diet rendah kalori. Kategori kehamilan: Belum terdapat data keamanan terkait penggunaan obat ini pada wanita hamil dan/atau menyusui. Konsultasikan kepada dokter apabila Anda sedang hamil dan/atau menyusui.**Hipersensitivitas individu yang diketahui terhadap produk. Kontraindikasi pada pasien yang menderita sirosis hati dan defisiensi enzim cystathionine-synthase. Pada pasien dengan gagal ginjal berat (klirens kreatinin <25 mL/menit).**Tidak terlihat efek samping pada gastrointestinal maupun sistemik.**Obat Keras (Merah)**Dus, Botol @ 60 ml**Generic Manufacturer**BPOM: GKL1315715538A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek."
