,name,price,deskripsi,isi_deksripsi
0,Shantos Romeo Hair Styling Pomade Type Gold 75 g,Rp33.400 - Rp34.900,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot @ 75 g**None
1,Tancho Pomade Nourishing 130 g,Rp24.000 - Rp35.700,Indikasi Umum**Komposisi**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur,"Merapikan, membentuk, menutrisi dan melindungi rambut anda dari sinar UV serta memberikan efek berkilau saat digunakan dan tahan lama**Ricinus communis (castor) seed oil, rhus succedanea fruit wax, fragrance, BHT, Cl 47000**Ambil secukupnya dan ratakan pada telapak tangan. Tatalah pada rambut anda**Jangan disimpan di tempat panas**Produk Konsumen**Pot 130 G X 1**Mandom Indonesia"
2,Tokyo Night Pomade Lavender Green 50 g,Rp10.000 - Rp12.100,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot 50 g**None
3,Axe Deo Spray Black 150 ml,Rp31.300 - Rp47.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 150 ml**Unilever
4,Axe Deo Spray Dark Tempation 150 ml,Rp30.500 - Rp44.000,Indikasi Umum**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,mencegah bau tidak sedap karena keringat berlebih dari ketiak Anda.**Sesuai kebutuhan**Semprotkan pada ketiak**Produk Konsumen**Spray 150 ml X 1**Unilever
5,Axe Deodorant Bodyspray Harumkan Indonesia Gloriously Fresh 135 ml,Rp43.900 - Rp48.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Kaleng @ 135 ml**Unilever**BPOM: NC41210600005
6,Bellagio Deodorant Spray Energy 175 ml,Rp35.400,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol kaleng @ 175 ml**Priskila Prima Makmur
7,Gatsby Cologne 75 ml,Rp7.200 - Rp13.000,Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,Semprotkan ke seluruh bADAN**Semprotkan ke seluruh badan**Produk Konsumen**Botol @ 75 ml**Mandom Indonesia
8,Gatsby Splash Cologne 175 ml,Rp12.100 - Rp22.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 175 ml**Mandom Indonesia**BPOM: NA18150600680
9,Gatsby Splash Cologne Wild Forest 175 ml,Rp16.800 - Rp20.400,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 175 ml**Mandom Indonesia
10,Nivea Men Cool Kick Deodorant Spray 150 ml,Rp45.100 - Rp72.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol spray 150 ml**Beiersdorf Indonesia
11,Nivea Men Deodorant Dry Impact Roll On 50 ml,Rp13.800 - Rp26.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 50 ml**Beiersdorf Indonesia
12,Nivea Men Deodorant Silver Protect Roll On 50 ml,Rp15.000 - Rp26.500,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,Deodorant yang membantu mencegah bakteri penyebab bau badan.**Aplikasikan secara merata pada ketiak. Biarkan produk hingga benar-benar mengering sebelum mengenakan pakaian.**Produk Konsumen**Botol @ 50 ml**Beiersdorf Indonesia
13,Rexona Men Adventure Roll On 50 ml,Rp14.300 - Rp26.400,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Mengoleskan Rexona Men Roll On Adventure 50ml setelah Anda mandi dan sebelum beraktivitas akan membebaskan Anda dari gangguan bau badan sepanjang hari selama tubuh bergerak aktif atau berpetualang. Anda tidak lagi khawatir dengan bau badan yang menyengat di tengah kegiatan Anda berpetualang dan bertemu dengan pasangan Anda selama 48 hari.**Water, aluminum chlorohydrate, steareth-2, helianthus annuus (sunflower) seed oil, perfume, steareth-20, silica dimethyl silylate, disodium EDTA, pentaeryththrityl tetra-di-t-butyl hydroxyhydrocinnamate.**Sesuai kebutuhan**Setiap habis mandi, oleskan 4-6 kali dibawah lengan setiap kali pakai. Jangan gunakan pada kulit luka. Bila terjadi iritasi, hentikan pemakaian.**Produk Konsumen**Roll On 40 ml**Unilever"
14,Rexona Men Invisible Dry Roll On 50 ml,Rp15.700 - Rp23.600,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,REXONA MEN INVISIBLE DRY ROLL ON merupakan deodorant berbentuk roll yang melindungi keringat tetap kering tanpa khawatir keringat dan bau badan.**Perlindungan terhadap ketiak dan bau badan**Oleskan secukupnya pada bagian ketiak**Produk Konsumen**Botol Aplikator @ 50 ml**Unilever**BPOM: NA18210900162
15,Gillete Blue 3 Simple,Rp8.400 - Rp17.700,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pack @ 1 Piece**Procter & Gamble (P&G)
16,Gillete Satin Care 195 g,Rp67.500 - Rp81.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Pack @ 3 Unit**Procter & Gamble (P&G)**BPOM: NB02201100001
17,Gillete Venus Sensitive 3 Razor,Rp57.300 - Rp92.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Kaleng @ 195 g**Procter & Gamble (P&G)
18,Gillette Blue 3 Ice Blade 4 More Lubricant,Rp73.500 - Rp81.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur,-**-**-**-**Gunakan Pisau cukur ini pada tempat yang ingin dicukur Jangan digunakan secara horizontalmenyeluruh atau menyentuh ujung pisau dengan tangan untuk mencegah terluka**-**-**-**Produk Konsumen**-**P.K.G. Gelora
19,Gillette Blue II Plus 2 Pieces,Rp8.100 - Rp23.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pack @ 2 Pieces**Procter & Gamble (P&G)
20,Gillette Blue II Plus 5+1 Pieces,Rp55.000 - Rp68.100,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pack @ 6 Unit**Procter & Gamble (P&G)
21,Gillette Blue II Plus Pisau Cukur 1 Pieces,Rp5.500 - Rp12.700,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pack @ 1 piece**Procter & Gamble (P&G)
