,name,price,deskripsi,isi_deksripsi
0,Easycare Wash Glove Tissue 4 Sheet Non Parfume,Rp25.700 - Rp35.000,Deskripsi**Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"EasyCare Wash Glove Adalah washlap sekali pakai (disposable), terbuat dari bahan non woven mengandung Air, sabun tanpa bilas, Antiseptik, pelembut dan pelembab. Kelebihan produk ini antara lain: • Mengandung antiseptic • Bebas alcohol • Minim alergi • Proteksi kulit**Untuk membersihkan tubuh / Sebagai pengganti mandi pada saat perjalanan jauh, setelah berolah raga dan pasien home care.**Alat Kesehatan & Medis Habis Pakai**Pack @ 4 Lembar**None**Kemenkes RI: AKD20903020112"
1,Evo Surgical Face Mask Green 50 Pieces,Rp78.300 - Rp137.500,Deskripsi**Indikasi Umum**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"EVO Surgical Face Mask terbuat dari 3 lapis bahan non woven yang dilengkapi dengan filter anti bakteri pada lapisan kedua, membuat masker ini dapat memberi perlindungan dari cairan, bakteri, kuman penyakit dan partikel mikro lainnya.**Pelindung saluran pernafasan dari partikel debu, polusi, asap, dan kuman penyebab infeksi.**Sesuai kebutuhan**Pasang masker dengan mengaitkan bagian karet pada kedua telinga, dan posisikan masker sampai menutupi bagian hidung, mulut, dan dagu.**Alat Kesehatan & Medis Habis Pakai**Box @ 50 Pieces**None**KEMENKES RI: AKD11603410200"
2,Examination Gloves Size L 100 Pieces,Rp49.600 - Rp271.100,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box isi 100**None"
3,Examination Gloves Size L 200 Pieces,Rp149.100 - Rp385.500,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box @ 200 Pieces**None"
4,Examination Gloves Size M 100 Pieces,Rp48.800 - Rp271.100,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box isi 100**None"
5,Examination Gloves Size M 200 Pieces,Rp108.400 - Rp542.000,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box @ 200 Pieces**None"
6,Examination Gloves Size M 60 Pieces,Rp57.600 - Rp131.200,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box @ 60 Pieces**None"
7,Examination Gloves Size S 100 Pieces,Rp46.100 - Rp271.000,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box isi 100**None"
8,Examination Gloves Size S 200 Pieces,Rp168.100 - Rp542.000,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box @ 200 Pieces**None"
9,Examination Gloves Size S 60 Pieces,Rp54.200 - Rp130.100,Perhatian**Golongan Produk**Kemasan**Manufaktur,"Sarung tangan ini merupakan sarung tangan sekali pakai (disposable), bersifat non steril dan pre-powdered (terdapat sedikit bubuk putih).**Alat Kesehatan & Medis Habis Pakai**Box @ 60 Pieces**None"
10,Face Shield 3D Topeng Penutup Wajah 1 Piece,Rp16.900 - Rp33.000,Deskripsi**Indikasi Umum**Golongan Produk**Kemasan**Manufaktur,"FACE SHIELD NON MEDIS DEWASA 1 PIECE merupakan alat yang digunakan sebagai pelindung wajah (mata, hidung dan mulut) dari paparan percikan droplet atau tangan yang terkontaminasi bakteri atau virus. Alat ini dilengapi dengan mika bening, sehingga penglihatan tidak terganggu dan tetap nyaman digunakan oleh pengguna kaca mata. Selain itu, alat ini juga dilengkapi karet elastis untuk dilingkarkan ke belakang kepala, sehingga penggunaannya lebih mudah dan tetap nyaman. Face shield dapat digunakan berulang setelah dibersihkan dengan menggunakan desinfektan.**Alat pelindung wajah (mata, mulut dan hidung) dari paparan percikan droplet maupun tangan yang terkontaminasi oleh baketri ataupun virus. Alat ini dapat digunakan secara berulang setelah dibersihkan dengan menggunakan desinfektan.**Alat Kesehatan & Medis Habis Pakai**Pack @ 1 Piece**None"
11,Face Shield Non Medis Anak 1 Piece,Rp5.900 - Rp58.300,Deskripsi**Indikasi Umum**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur,"FACE SHIELD NON MEDIS ANAK merupakan alat yang digunakan sebagai pelindung wajah (mata, hidung dan mulut) dari paparan percikan droplet atau tangan yang terkontaminasi bakteri atau virus. Alat ini dilengapi dengan mika bening, sehingga penglihatan tidak terganggu dan tetap nyaman digunakan oleh pengguna kaca mata. Selain itu, alat ini juga dilengkapi karet elastis untuk dilingkarkan ke belakang kepala, sehingga penggunaannya lebih mudah dan tetap nyaman. Face shield dapat digunakan berulang setelah dibersihkan dengan menggunakan desinfektan.**Alat pelindung wajah (mata, mulut dan hidung) dari paparan percikan droplet maupun tangan yang terkontaminasi oleh baketri ataupun virus. Alat ini dapat digunakan secara berulang setelah dibersihkan dengan menggunakan desinfektan.**Pastikan face shield dalam keadaan bersih dan telah dibersihkan dengan desinfektan. Pasang face shied dengan mengaitkan bagian karet elastis ke belakang kepala.**PERINGATAN! Bersihkan dahulu face shield dengan desinfektan sebelum digunakan.**Alat Kesehatan & Medis Habis Pakai**Pack @ 1 Piece**Abad Dua Satu Makmur"
12,Face Shield Non Medis Bayi 1 Piece,Rp23.400 - Rp52.500,Deskripsi**Indikasi Umum**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur,"FACE SHIELD BAYI NON MEDIS merupakan alat yang digunakan sebagai pelindung wajah (mata, hidung dan mulut) dari paparan percikan droplet atau tangan yang terkontaminasi bakteri atau virus. Alat ini dilengapi dengan mika bening, sehingga penglihatan tidak terganggu dan tetap nyaman digunakan oleh pengguna kaca mata. Selain itu, alat ini juga dilengkapi karet elastis untuk dilingkarkan ke belakang kepala, sehingga penggunaannya lebih mudah dan tetap nyaman. Face shield dapat digunakan berulang setelah dibersihkan dengan menggunakan desinfektan.**Alat pelindung wajah (mata, mulut dan hidung) dari paparan percikan droplet maupun tangan yang terkontaminasi oleh baketri ataupun virus. Alat ini dapat digunakan secara berulang setelah dibersihkan dengan menggunakan desinfektan.**Pastikan face shield dalam keadaan bersih dan telah dibersihkan dengan desinfektan. Pasang face shied dengan mengaitkan bagian karet elastis ke belakang kepala.**PERINGATAN! Bersihkan dahulu face shield dengan desinfektan sebelum digunakan.**Alat Kesehatan & Medis Habis Pakai**Pack @ 1 Piece**None"
